ParticipantID,Task,UnixTime,CoordinateX,CoordinateY
105,2,1715872691769,170240.138276,-4974.641828
105,2,1715872693231,170230.003579,-4988.152865
105,2,1715872701838,168577.664546,-7660.453414
203,1,1720715348601,216192.561082,-10365.263619
203,3,1720715864960,212770.018437,-7524.480499
169,2,1720278179838,300336.399575,-14434.411148
169,2,1720278221831,291260.890712,-17993.691949
169,3,1720278278376,287268.048957,-16652.563196
253,1,1721840665120,326831.724847,-14496.582412
253,1,1721840730250,328971.056815,-18567.549775
253,1,1721840762625,330045.74976,-13534.579449
253,1,1721840832253,344836.636534,-12088.957348
253,3,1721841108787,341066.309008,-11033.914595
209,1,1720803105323,84687.532477,-5060.691835
165,2,1720199011799,302263.796753,-11372.862537
165,2,1720199061724,293861.186493,-12184.580767
165,2,1720199065891,292822.690682,-12178.067286
165,3,1720199237795,286095.012557,-17864.379804
24,1,1714134074803,286299.759736,-12114.16681
24,1,1714134076683,286630.406335,-12124.689365
24,1,1714134102620,289403.91339,-14476.429994
24,2,1714134293134,293045.60133,-7617.196335
33,3,1714310999486,89367.338561,-5855.198742
174,1,1720288749402,163965.793121,-7923.121566
174,1,1720288753133,164435.249573,-7920.457326
174,2,1720289070254,168735.871915,-7511.343696
174,2,1720289126835,165361.792034,-12344.952342
71,1,1714947063110,127621.677622,-7680.036817
179,3,1720296213988,330136.785296,-13567.450001
179,3,1720296224208,330416.61065,-16327.679105
179,3,1720296245590,335957.407346,-12218.956354
7,1,1713799349620,328985.692685,-13570.282625
7,1,1713799352308,329903.055184,-13594.603726
7,1,1713799397717,337562.32043,-13570.252551
7,1,1713799425704,341897.136503,-14075.278243
7,2,1713799643836,337593.20943,-8996.161339
234,1,1721320083497,208511.514315,-13762.248577
32,1,1714239544916,1777.108226,-2287.08141
61,1,1714756336575,212231.640927,-5804.475009
61,2,1714756448600,211544.567121,-8024.616097
61,2,1714756460369,209703.401171,-10904.365727
61,2,1714756463903,209678.82481,-12095.996951
100,3,1715801521460,211065.031926,-5795.359671
77,2,1715371814274,174020.043133,-9056.904417
77,2,1715371852456,167455.237923,-7849.970904
77,3,1715372019400,166060.329556,-9845.407614
44,1,1714415053293,167192.859758,-7899.409111
